datetime,open,high,low,close,volume,dividends,stock splits
2026-04-16 09:00:00+09:00,1141000.0,1150000.0,1138000.0,1141000.0,0,0.0,0.0
2026-04-16 09:05:00+09:00,1141000.0,1141000.0,1133000.0,1139000.0,110491,0.0,0.0
2026-04-16 09:10:00+09:00,1139000.0,1143000.0,1136000.0,1137000.0,58147,0.0,0.0
2026-04-16 09:15:00+09:00,1138000.0,1142000.0,1134000.0,1135000.0,62077,0.0,0.0
2026-04-16 09:20:00+09:00,1135000.0,1136000.0,1130000.0,1130500.0,60501,0.0,0.0
2026-04-16 09:25:00+09:00,1130500.0,1138000.0,1130000.0,1137000.0,30303,0.0,0.0
2026-04-16 09:30:00+09:00,1137000.0,1144000.0,1136000.0,1144000.0,43948,0.0,0.0
2026-04-16 09:35:00+09:00,1144000.0,1145000.0,1140000.0,1141000.0,36901,0.0,0.0
2026-04-16 09:40:00+09:00,1140000.0,1144000.0,1140000.0,1144000.0,34875,0.0,0.0
2026-04-16 09:45:00+09:00,1144000.0,1146000.0,1140000.0,1145000.0,27306,0.0,0.0
2026-04-16 09:50:00+09:00,1145000.0,1147000.0,1144000.0,1147000.0,33864,0.0,0.0
2026-04-16 09:55:00+09:00,1146000.0,1149000.0,1146000.0,1147000.0,27250,0.0,0.0
2026-04-16 10:00:00+09:00,1147000.0,1148000.0,1142000.0,1143000.0,29456,0.0,0.0
2026-04-16 10:05:00+09:00,1143000.0,1146000.0,1142000.0,1146000.0,27243,0.0,0.0
2026-04-16 10:10:00+09:00,1146000.0,1155000.0,1145000.0,1150000.0,113428,0.0,0.0
2026-04-16 10:15:00+09:00,1151000.0,1158000.0,1150000.0,1157000.0,82702,0.0,0.0
2026-04-16 10:20:00+09:00,1157000.0,1161000.0,1156000.0,1157000.0,101260,0.0,0.0
2026-04-16 10:25:00+09:00,1157000.0,1159000.0,1155000.0,1159000.0,37154,0.0,0.0
2026-04-16 10:30:00+09:00,1158500.0,1159000.0,1152000.0,1153000.0,33438,0.0,0.0
2026-04-16 10:35:00+09:00,1153000.0,1155000.0,1150000.0,1154000.0,20367,0.0,0.0
2026-04-16 10:40:00+09:00,1154000.0,1156000.0,1153000.0,1154000.0,18499,0.0,0.0
2026-04-16 10:45:00+09:00,1154000.0,1154000.0,1152000.0,1153000.0,15966,0.0,0.0
2026-04-16 10:50:00+09:00,1153000.0,1156000.0,1152000.0,1155000.0,21893,0.0,0.0
2026-04-16 10:55:00+09:00,1155000.0,1156000.0,1152000.0,1153000.0,27670,0.0,0.0
2026-04-16 11:00:00+09:00,1153000.0,1160000.0,1153000.0,1159000.0,38275,0.0,0.0
2026-04-16 11:05:00+09:00,1160000.0,1160000.0,1155000.0,1157000.0,17519,0.0,0.0
2026-04-16 11:10:00+09:00,1156000.0,1159000.0,1155000.0,1158000.0,16513,0.0,0.0
2026-04-16 11:15:00+09:00,1158000.0,1159000.0,1156000.0,1157500.0,11746,0.0,0.0
2026-04-16 11:20:00+09:00,1157500.0,1158500.0,1155000.0,1156000.0,21860,0.0,0.0
2026-04-16 11:25:00+09:00,1156000.0,1156000.0,1153000.0,1154000.0,21091,0.0,0.0
